Province,District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female
Koshi,Taplejung,Aathrai Tribeni Rural Municipality,2869,2735,12288,6005,6283
Koshi,Taplejung,Maiwakhola Rural Municipality,2275,2178,10365,5264,5101
Koshi,Taplejung,Meringden Rural Municipality,2683,2528,12040,6181,5859
Koshi,Taplejung,Mikwakhola Rural Municipality,1862,1792,7991,4000,3991
Koshi,Taplejung,Phaktanglung Rural Municipality,2864,2700,11925,6239,5686
Koshi,Taplejung,Phungling Municipality,7306,5888,28786,14160,14626
Koshi,Taplejung,Sidingba Rural Municipality,2604,2484,10981,5593,5388
Koshi,Taplejung,Sirijangha Rural Municipality,3329,3197,14186,7227,6959
Koshi,Taplejung,Pathivara Yangwarak Rural Municipality,2738,2637,11797,5855,5942
Koshi,Panchthar,Falelung Rural Municipality,4940,4773,20531,10211,10320
Koshi,Panchthar,Falgunanda Rural Municipality,5293,4968,21253,10417,10836
Koshi,Panchthar,Hilihang Rural Municipality,4878,4647,20537,10160,10377
Koshi,Panchthar,Kummayak Rural Municipality,3199,3012,13020,6532,6488
Koshi,Panchthar,Miklajung Rural Municipality,5509,5163,21328,10535,10793
Koshi,Panchthar,Phidim Municipality,12433,10442,48713,23963,24750
Koshi,Panchthar,Tumbewa Rural Municipality,2752,2636,11063,5644,5419
Koshi,Panchthar,Yangwarak Rural Municipality,3964,3765,16828,8509,8319
Koshi,Ilam,Chulachuli Rural Municipality,5624,5533,22856,11215,11641
Koshi,Ilam,Deumai Municipality,7907,7535,31531,15807,15724
Koshi,Ilam,Fakphokthum Rural Municipality,4923,4748,20004,9800,10204
Koshi,Ilam,Illam Municipality,13395,11943,50455,24781,25674
Koshi,Ilam,Maijogmai Rural Municipality,4957,4881,19295,9686,9609
Koshi,Ilam,Mai Municipality,7966,7844,30988,15126,15862
Koshi,Ilam,Mangsebung Rural Municipality,3891,3793,16897,8602,8295
Koshi,Ilam,Rong Rural Municipality,4715,4650,17555,8739,8816
Koshi,Ilam,Sandakpur Rural Municipality,4031,3937,15460,7840,7620
Koshi,Ilam,Suryodaya Municipality,14149,13463,55457,27922,27535
Koshi,Jhapa,Arjundhara Municipality,20978,18995,84429,40591,43838
Koshi,Jhapa,Barhadashi Rural Municipality,9053,8665,37916,17952,19964
Koshi,Jhapa,Bhadrapur Municipality,17385,16032,70823,33988,36835
Koshi,Jhapa,Birtamod Municipality,29861,23039,117355,57136,60219
Koshi,Jhapa,Buddhashanti Rural Municipality,13276,12518,52911,25276,27635
Koshi,Jhapa,Damak Municipality,27725,22000,107410,51118,56292
Koshi,Jhapa,Gauradhaha Municipality,14845,14137,60598,28782,31816
Koshi,Jhapa,Gauriganj Rural Municipality,8712,8069,36058,17089,18969
Koshi,Jhapa,Haldibari Rural Municipality,7894,7621,33054,15831,17223
Koshi,Jhapa,Jhapa Rural Municipality,8554,8003,39372,19131,20241
Koshi,Jhapa,Kachankawal Rural Municipality,10200,9260,42386,20024,22362
Koshi,Jhapa,Kamal Rural Municipality,13356,12335,53710,25739,27971
Koshi,Jhapa,Kankai Municipality,13553,12419,53088,25557,27531
Koshi,Jhapa,Mechinagar Municipality,32710,29865,131520,64410,67110
Koshi,Jhapa,Shivasataxi Municipality,18036,17031,73460,34872,38588
Koshi,Morang,Belbari Municipality,20662,18945,81837,38460,43377
Koshi,Morang,Biratnagar Metropolitian City,57383,45204,244750,122769,121981
Koshi,Morang,Budhiganga Rural Municipality,12455,10768,51640,25472,26168
Koshi,Morang,Dhanpalthan Rural Municipality,9935,8528,45204,22136,23068
Koshi,Morang,Gramthan Rural Municipality,9483,8660,36500,17889,18611
Koshi,Morang,Jahada Rural Municipality,9868,8489,47836,24262,23574
Koshi,Morang,Kanepokhari Rural Municipality,10760,10271,43177,20441,22736
Koshi,Morang,Katahari Rural Municipality,10522,9370,48633,24414,24219
Koshi,Morang,Kerabari Rural Municipality,8809,8184,34725,16768,17957
Koshi,Morang,Letang Municipality,9304,8758,38675,18473,20202
Koshi,Morang,Miklajung Rural Municipality,8390,7969,33315,16074,17241
Koshi,Morang,Patahrishanishchare Municipality,18191,16621,72689,34263,38426
Koshi,Morang,Rangeli Municipality,13339,11903,57814,28238,29576
Koshi,Morang,Ratuwamai Municipality,14624,13768,61355,29091,32264
Koshi,Morang,Sundarharaicha Municipality,30219,26677,121305,57858,63447
