District,Total,Female,Male, Year,Province
Kathmandu ,86.3,79.8,92.2,2013,Bagmati
Lalitpur ,82.5,74.7,90.1,2013,Bagmati
Kaski ,82.4,75.4,90.1,2013,Gandaki
Bhaktapur ,81.7,72.7,90.5,2013,Bagmati
Ilam ,77.9,72,84.2,2013,Koshi
Chitawan ,77,70.7,83.9,2013,Bagmati
Syangja ,76.6,69.6,86.1,2013,Gandaki
Palpa ,76.2,69.5,84.9,2013,Lumbini
Jhapa ,75.1,68.6,82.3,2013,Koshi
Manang ,74.8,64.2,83,2013,Gandaki
Tanahu ,74.8,67.9,83.7,2013,Gandaki
Terhathum ,74.6,67,83.5,2013,Koshi
Dhankuta ,74.4,67.4,82.4,2013,Koshi
Parbat ,73.8,66.4,83.4,2013,Gandaki
Surkhet ,73.1,64.9,82,2013,Karnali
Arghakhanchi ,72.6,65.8,81.8,2013,Lumbini
Gulmi ,72.6,65.9,81.6,2013,Lumbini
Panchthar ,72.6,65.8,80.3,2013,Koshi
Baglung ,71.9,65.3,80.6,2013,Gandaki
Myagdi ,71.9,64.5,81.1,2013,Gandaki
Taplejung ,71.3,64.1,79.3,2013,Koshi
Lamjung ,71.1,63.3,80.7,2013,Gandaki
Nawalparasi East,82.4,76.8,88.7,2013,Gandaki
Kanchanpur ,70.7,61,81.3,2013,Sudurpaschim
Morang ,70.6,63.1,78.7,2013,Koshi
Dang ,70.3,62.8,78.9,2013,Lumbini
Kavrepalanchok ,69.8,60.9,79.6,2013,Bagmati
Rupandehi ,69.8,60.8,79.2,2013,Lumbini
Sankhuwasabha ,69.4,62.2,77.5,2013,Koshi
Bhojpur ,69.3,61.4,78.4,2013,Koshi
Khotang ,68.8,61.1,77.7,2013,Koshi
Udayapur ,68.8,61.5,77.2,2013,Koshi
Sunsari ,68.5,60.5,77,2013,Koshi
Makwanpur ,67.9,60.6,75.4,2013,Bagmati
Pyuthan ,67,58.6,78.2,2013,Lumbini
Gorkha ,66.3,59.4,75.1,2013,Gandaki
Kailali ,66.3,57.1,76.2,2013,Sudurpaschim
Mustang ,66.2,55.8,75.4,2013,Gandaki
Bardiya ,65.4,57.9,73.5,2013,Lumbini
Darchula ,65.4,52.9,79.3,2013,Sudurpaschim
Dadeldhura ,65.3,52.9,79.7,2013,Sudurpaschim
Okhaldhunga ,64.4,56,74.3,2013,Koshi
Solukhumbu ,64.2,55.7,73.4,2013,Koshi
Salyan ,64,55.2,73.9,2013,Karnali
Baitadi ,63,49.2,79,2013,Sudurpaschim
Dhading ,62.9,55.7,71.1,2013,Bagmati
Dolakha ,62.8,53.7,73.3,2013,Bagmati
Dailekh ,62.5,52.9,72.8,2013,Karnali
Banke ,62.4,54.9,70,2013,Lumbini
Ramechhap ,62.2,53.5,72.6,2013,Bagmati
Rukum East,71.4,63.7,79.7,2013,Lumbini
Sindhuli ,60.5,52.1,69.8,2013,Bagmati
Rolpa ,60,50.5,71.5,2013,Lumbini
Nuwakot ,59.8,52.4,68,2013,Bagmati
Sindhupalchok ,59.6,51.9,68,2013,Bagmati
Jajarkot ,57.3,48.7,65.9,2013,Karnali
Kalikot ,56.8,45.7,67.9,2013,Karnali
Doti ,56.3,42.3,73.4,2013,Sudurpaschim
Parsa ,55.9,43.9,66.9,2013,Madesh
Achham ,55.7,42.9,70.7,2013,Sudurpaschim
Bajura ,55.7,43.3,68.8,2013,Sudurpaschim
Bajhang ,55.6,40.1,73,2013,Sudurpaschim
Kapilbastu ,54.9,45,64.9,2013,Lumbini
Jumla ,54.7,40.8,68.2,2013,Karnali
Saptari ,54.5,42.6,67,2013,Madesh
Dolpa ,54.1,40.6,67.9,2013,Karnali
Rasuwa ,53.6,46.5,60.9,2013,Bagmati
Bara ,52,40.7,62.8,2013,Madesh
Mugu ,51.3,36.9,65.2,2013,karnali
Dhanusa ,50.4,40.2,60.6,2013,Madesh
Siraha ,50.2,39.2,61.9,2013,Madesh
Humla ,47.8,33,62.1,2013,Karnali
Mahottari ,46.4,36.6,56.6,2013,Madesh
Sarlahi ,46.3,36.6,55.8,2013,Madesh
Rautahat ,41.7,32,50.9,2013,Madesh
Rukum West,75.7,69.4,82.5,2013,Karnali
Nawalparasi West,78,70.2,86.3,2013,Lumbini
,,,,,
